,EX,IM,fdi,CPI,RPI,ipsi,chi,mpmi,impmi,sr,m2,m0,GDP,Lfai,Lne,Lse,PMI,兼职,劳动合同法,招聘,小时工,智联招聘网,失业保险,工资,个人所得税,出口信贷,公务员工资,进口葡萄酒,出口,报关,大宗商品,BDI指数,海外代购,进口,进出口,进口配额,出口配额,出口许可证,成品油,汽车零部件,出口退税,铁矿石,石油,外汇,期货,进口化妆品,中国进出口贸易网,进出口代理,海关编码查询,来料加工,海运费,关税查询,原油,进出口银行,钢材,集装箱,政府采购,工程招标,差旅费,税收,招投标,教育支出,增值税,基础设施建设,大豆,华夏基金,利率,国债,融资,期权,收藏品,贵金属,外汇交易,股市,炒股,证券,创业,邮票,投资,房地产,保险,贷款,银行,基金,理财产品,消费,运费,装饰,电器,促销,书,茶,酒店,自助,出国,音响,餐巾纸,享受,时装,演唱会,维修,健身房,玩具,团购,减肥,美容,户外,首饰
200504,7.856394251,7.782610464,3.588395735,101.3666667,100.6333333,103.4666667,3.791377768,54.16666667,,3.408408337,5.466665257,4.357172956,4.767834617,4.420862856,7.525859233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200601,7.812817401,7.760923217,3.460231044,101.2,100.5333333,102.8666667,3.787914099,53.16666667,,3.484430384,5.485973413,4.4088064,4.658594201,4.064772365,7.36371101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200602,7.886782882,7.808846794,3.554515085,101.3666667,100.9666667,102.6,3.778171999,55.66666667,,3.54817734,5.502018023,4.374647571,4.702728581,4.393749763,7.579370729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200603,7.941624966,7.852523934,3.53261328,101.2666667,100.9333333,103.5,3.793077057,54.16666667,,3.498801039,5.515747931,4.389661113,4.717924183,4.406740591,7.687589214,3.9322657,0,1381,502,7563,166,615,172,627,939,0,1253,0,1602,675,0,0,0,129,193,0,0,0,122,0,523,181,736,960,927,0,174,0,0,250,0,0,138,0,776,242,496,0,0,200,191,0,417,0,396,835,293,332,339,157,0,0,169,1199,233,1442,2446,768,1031,3400,1336,569,961,1594,108,293,0,842,720,460,3616,864,2401,90,747,821,0,115,813,1132,229,281,1309,415,4521,8575,274,1850
200604,7.966761831,7.844992523,3.576443232,102.0333333,101.6666667,102.9666667,3.851287624,54.93333333,,3.502424037,5.529646487,4.412283759,4.841549667,4.49958042,7.830942426,3.809842419,0,1623,569,9465,170,765,223,695,1243,0,956,0,1906,651,0,0,0,186,246,0,0,0,153,0,549,218,854,975,1269,0,198,0,0,281,0,0,170,0,798,302,626,0,0,328,221,0,590,0,582,2922,371,415,418,205,103,0,219,1811,391,2091,3002,1016,1763,2591,1492,744,1426,8308,147,300,0,852,838,449,4413,953,1709,120,906,956,0,157,909,1336,287,304,1282,654,4884,6686,356,1095
200701,7.924409497,7.833194135,3.751021651,102.4333333,101.9333333,102.8666667,3.848494601,54.76666667,59.73333333,3.582862855,5.553944028,4.456681822,4.741774613,4.16267222,7.667529569,3.862656034,0,1866,602,11230,196,911,223,720,1559,0,667,0,905,606,0,0,0,212,270,0,0,0,152,0,515,224,771,1415,1485,0,174,0,0,284,0,0,172,0,1107,270,548,53,0,309,232,0,549,0,689,7955,511,468,390,189,177,0,295,5214,802,4318,3579,1077,2282,2513,2022,832,1773,28156,199,289,0,839,869,518,4958,989,1788,117,1118,1075,0,157,1049,1687,313,317,1684,822,6318,6610,459,1009
200702,7.992058954,7.881356946,4.18041643,102.9666667,102.2333333,102.7333333,3.841919361,56.26666667,60.86666667,3.674104859,5.570073961,4.433558142,4.7912449,4.498781955,7.821054991,4.026582288,0,2199,783,11340,227,1034,262,502,1239,0,389,0,732,626,0,0,0,256,296,0,0,0,129,0,804,247,916,1838,1692,0,186,15,0,307,0,0,176,0,1543,310,717,144,0,309,249,0,587,0,646,9020,674,589,510,214,205,0,395,8176,1143,5852,3624,1149,3078,2967,2793,886,1867,40109,200,445,10,1090,1148,540,5095,1103,2487,141,1494,1467,0,193,1102,1506,360,333,2443,903,7835,6640,860,1207
200703,8.043254849,7.934929672,4.394017548,103.8333333,102.9333333,102.5666667,3.860654555,54.46666667,61,3.624129204,5.588881283,4.447943448,4.811208918,4.507437021,7.864136162,4.04517819,0,2289,2159,12686,244,986,244,539,1270,0,368,0,660,642,0,0,0,169,231,0,0,0,148,0,709,272,822,1729,1421,0,169,101,0,334,113,0,148,0,1479,306,652,145,0,214,190,0,538,0,603,10363,754,585,473,205,293,76,351,6068,989,4646,3666,939,3804,2680,1856,910,1664,69990,193,223,113,1420,1317,383,5239,994,3122,130,1293,1373,0,144,1009,1312,651,341,3861,635,8025,6382,967,1203
200704,8.053761097,7.94329849,4.534674065,104.6,103.6,104.4,3.926951627,54.63333333,60.73333333,3.660319626,5.601085191,4.465403507,4.935801398,4.592921749,7.880921644,3.906792803,0,2055,3691,12963,293,1129,275,655,1589,0,382,52,619,538,0,0,0,251,308,0,0,0,125,276,588,350,1019,1854,1667,108,153,145,0,350,110,0,253,152,1363,436,694,140,0,389,235,0,605,0,979,7300,864,456,429,243,346,143,430,4790,1101,3770,3736,1171,3961,3144,2138,981,1856,62299,262,276,114,2015,1538,432,5481,1113,2695,142,1701,1269,112,158,1231,1304,816,337,3103,821,10569,7726,1030,1276
200801,8.006199714,7.943980229,3.649229251,107.6666667,106.9,106.9,3.929871565,54.93333333,59.46666667,3.711009744,5.623911302,4.519656167,4.825681815,4.262852923,7.617283432,3.978029789,0,1784,3253,13248,257,1161,266,650,2224,0,311,77,379,421,0,0,63,174,252,0,0,0,209,203,504,527,802,1594,1855,106,142,133,0,335,110,0,223,105,1074,286,514,140,0,260,250,0,550,0,878,4236,693,392,563,196,299,353,370,4196,1319,2570,3076,1008,1723,2690,1754,1242,1471,33687,327,350,117,925,816,355,5768,951,1553,124,853,933,144,296,886,1160,308,325,1107,901,18302,10787,498,978
200802,8.079704823,8.003686161,4.072014708,108.0666667,107.5,108.3666667,3.929013098,54.83333333,57.73333333,3.796812815,5.639674629,4.482569217,4.874266066,4.603350532,7.762516877,4.126303532,0,2541,1926,15651,277,1397,295,593,1779,31,286,89,545,509,78,0,78,199,257,0,0,0,295,275,574,584,920,1867,1800,92,154,129,0,368,119,0,335,102,1931,386,683,147,0,365,313,0,685,0,867,2537,645,535,596,233,434,240,823,3812,847,2375,4468,1022,1964,2737,1945,995,1443,23358,329,456,135,1194,893,409,5594,1073,2029,128,1231,937,161,191,900,1796,398,380,1194,890,15066,23680,486,3960
200803,8.133509909,8.034186419,4.273276039,107.3333333,107.1333333,109.7333333,3.951369004,49.33333333,54.53333333,3.664562337,5.652595494,4.492545028,4.88765724,4.617364513,7.920847738,4.131814277,0,2819,1587,12240,244,1382,285,499,1458,62,306,80,603,604,106,0,68,196,224,0,0,0,183,198,616,525,921,1685,1893,92,143,125,0,357,113,0,387,84,1269,451,539,134,0,220,207,0,646,0,879,1681,469,461,499,183,297,228,545,2716,598,1906,12134,902,7952,2930,1739,1159,1244,10962,277,349,134,1140,937,462,5019,1054,2540,119,2924,915,144,173,912,1186,466,349,1961,704,176281,27270,494,22106
200804,8.071635214,7.900586443,4.397791052,106.3,106.3,102.5,4.008311343,41.53333333,51.7,3.652779929,5.664849415,4.509948943,4.990082999,4.683916019,8.058081159,3.97299847,0,3501,2534,11802,211,1473,434,685,2217,86,550,88,441,540,134,0,127,185,190,0,0,0,252,189,933,481,993,1942,2048,101,130,112,0,348,125,0,414,123,1818,429,630,128,0,337,244,0,1168,0,954,2498,1066,863,596,260,248,237,613,2463,723,1829,6854,970,4337,2370,2169,2053,1648,7071,244,281,132,884,843,399,5176,1505,1738,125,1187,944,141,181,968,1470,435,386,1476,694,12166,5797,488,3429
200901,7.908092343,7.781575618,3.424797009,100.0333333,99.8,95.4,3.990190677,48.9,54.4,3.681631721,5.708382355,4.562568407,4.849727058,4.372212152,7.79596174,4.107579641,119,3591,2285,11024,185,4525,421,567,2703,71,446,96,248,523,137,78,98,168,176,0,0,32,179,163,747,338,778,1337,1801,107,123,97,121,282,130,0,243,155,987,333,484,129,48,329,236,0,948,0,649,2840,800,659,473,225,186,182,310,2054,780,1885,4309,965,1053,1756,2065,1327,1534,5968,348,234,120,803,657,318,3991,1287,1255,110,459,897,143,153,900,1104,227,417,938,633,7234,2211,445,669
200902,7.96376197,7.904678083,3.903385741,99.06666667,98.76666667,92.8,3.989727859,53.26666667,54.6,3.808325614,5.742272748,4.52914571,4.901037991,4.736686068,7.541269986,4.206601927,70,3305,2101,7554,151,5683,349,409,2137,83,315,89,237,418,154,355,88,162,164,0,0,73,194,156,707,378,734,1021,1586,94,128,100,38,232,111,0,208,124,756,324,463,110,17,461,216,0,876,0,518,2868,538,513,433,230,187,161,327,1560,820,1633,3360,865,932,1651,1563,1114,1167,5613,342,222,115,807,543,299,2548,1044,1131,94,322,852,132,175,701,1024,198,408,887,581,7985,1987,430,443
