n,carat,cut,color,clarity,depth,table,price,x,y,z
1,0.23,Ideal,E,SI2,61.5,55,326,3.95,3.98,2.43
3,0.23,Good,E,VS1,56.9,65,327,4.05,4.07,2.31
6,0.24,Very Good,J,VVS2,62.8,57,336,3.94,3.96,2.48
7,0.24,Very Good,I,VVS1,62.3,57,336,3.95,3.98,2.47
15,0.2,Premium,E,SI2,60.2,62,345,3.79,3.75,2.27
16,0.32,Premium,E,I1,60.9,58,345,4.38,4.42,2.68
18,0.3,Good,J,SI1,63.4,54,351,4.23,4.29,2.7
20,0.3,Very Good,J,SI1,62.7,59,351,4.21,4.27,2.66
21,0.3,Good,I,SI2,63.3,56,351,4.26,4.3,2.71
23,0.23,Very Good,H,VS1,61,57,353,3.94,3.96,2.41
24,0.31,Very Good,J,SI1,59.4,62,353,4.39,4.43,2.62
26,0.23,Very Good,G,VVS2,60.4,58,354,3.97,4.01,2.41
31,0.23,Very Good,F,VS1,60,57,402,4,4.03,2.41
32,0.23,Very Good,F,VS1,59.8,57,402,4.04,4.06,2.42
35,0.23,Very Good,D,VS1,61.9,58,402,3.92,3.96,2.44
37,0.23,Good,E,VS1,64.1,59,402,3.83,3.85,2.46
39,0.26,Very Good,D,VS2,60.8,59,403,4.13,4.16,2.52
40,0.33,Ideal,I,SI2,61.8,55,403,4.49,4.51,2.78
43,0.26,Good,D,VS2,65.2,56,403,3.99,4.02,2.61
44,0.26,Good,D,VS1,58.4,63,403,4.19,4.24,2.46
50,0.29,Very Good,H,SI2,60.7,60,404,4.33,4.37,2.64
71,0.24,Very Good,D,VVS1,61.5,60,553,3.97,4,2.45
76,0.26,Very Good,F,VVS2,59.2,60,554,4.19,4.22,2.49
79,0.26,Very Good,D,VVS2,62.8,60,554,4.01,4.05,2.53
81,0.26,Very Good,E,VVS1,63.4,59,554,4,4.04,2.55
82,0.26,Very Good,D,VVS1,62.1,60,554,4.03,4.12,2.53
84,0.38,Ideal,I,SI2,61.6,56,554,4.65,4.67,2.87
88,0.24,Premium,H,VVS1,60.8,59,554,4.02,4,2.44
89,0.24,Premium,H,VVS2,60.7,58,554,4.07,4.04,2.46
91,0.7,Ideal,E,SI1,62.5,57,2757,5.7,5.72,3.57
97,0.7,Good,F,VS1,59.4,62,2759,5.71,5.76,3.4
107,0.8,Premium,G,SI1,63,59,2760,5.9,5.81,3.69
109,0.81,Ideal,F,SI2,58.8,57,2761,6.14,6.11,3.6
116,0.73,Ideal,F,VS2,62.7,53,2762,5.8,5.75,3.62
117,0.8,Premium,F,SI2,61.7,58,2762,5.98,5.94,3.68
121,0.71,Ideal,D,SI2,62.3,56,2762,5.73,5.69,3.56
136,0.63,Premium,E,VVS1,60.9,60,2765,5.52,5.55,3.37
145,0.71,Ideal,D,SI2,61.6,55,2767,5.74,5.76,3.54
157,0.71,Ideal,F,SI1,60.7,56,2770,5.77,5.8,3.51
160,0.73,Ideal,D,SI2,59.9,57,2770,5.92,5.89,3.54
161,0.73,Premium,G,VS2,59.2,59,2770,5.92,5.87,3.49
167,0.8,Very Good,F,SI2,61,57,2772,6.01,6.03,3.67
169,0.58,Ideal,F,VVS1,61.7,56,2772,5.33,5.37,3.3
170,0.71,Good,E,VS2,59.2,61,2772,5.8,5.88,3.46
181,0.54,Ideal,E,VVS2,61.6,56,2776,5.25,5.27,3.24
184,0.72,Ideal,G,SI1,60.7,56,2776,5.79,5.82,3.53
191,0.71,Good,F,VS2,57.8,60,2777,5.87,5.9,3.4
192,0.7,Ideal,E,VS2,62.1,55,2777,5.7,5.67,3.53
197,0.7,Premium,E,SI1,61,57,2777,5.73,5.68,3.48
200,0.72,Premium,F,SI1,61.8,61,2777,5.82,5.71,3.56
202,0.7,Premium,E,SI1,61.3,58,2777,5.71,5.68,3.49
203,0.7,Premium,E,SI1,60.5,58,2777,5.77,5.74,3.48
209,0.73,Very Good,H,VS2,60.8,56,2779,5.82,5.84,3.55
211,0.7,Very Good,F,VS2,63.6,57,2780,5.61,5.65,3.58
214,0.74,Ideal,G,VS1,61.5,55,2780,5.81,5.86,3.59
225,0.72,Ideal,D,SI1,60.8,57,2782,5.76,5.75,3.5
227,0.7,Premium,D,SI1,62.8,60,2782,5.68,5.66,3.56
229,0.75,Premium,F,SI1,61.4,59,2782,5.88,5.85,3.6
239,0.71,Good,D,VS2,63.3,56,2788,5.64,5.68,3.58
244,0.77,Good,F,SI1,64.2,52,2789,5.81,5.77,3.72
248,1.05,Very Good,J,SI2,63.2,56,2789,6.49,6.45,4.09
249,0.81,Ideal,G,SI2,61.6,56,2789,5.97,6.01,3.69
