from,to,time
中科招 ,三捷电池 ,1995
软银中国,UT斯达康,1995
摩根士丹利,中金公司,1995
兰馨亚洲,特灵空调,1995
经济发展局投资,新浪,1995
汇睿资本,南玻集团,1995
华平,新华工程,1995
华晶,新浪,1995
华登国际,无锡小天鹅,1995
国泰财富,无锡小天鹅,1995
广东风投,华锋电子铝箔,1995
广东风投,风华高科,1995
高盛,新浪,1995
霸菱亚洲,鹏程食品,1995
IDG资本,索易,1995
Flatiron Partners,新浪,1995
Chase Manhattan Capital Corp.,新浪,1995
中创投,中创物流,1996
软银中国,UT斯达康,1996
摩根士丹利,中国平安,1996
美林,天润曲轴,1996
汇亚,真明丽,1996
华平,媒体世纪,1996
华平,麦考林(麦网),1996
高盛,中国平安,1996
IDG资本,前导软件,1996
IDG资本,苦丁香,1996
IDG资本,华生元,1996
中创投,亚信集团,1997
招商局中国基金,兴业银行,1997
怡和创投,新涛,1997
山西科技基金,山西证券,1997
软银中国,UT斯达康,1997
华平,亚信集团,1997
华登国际,新涛,1997
华登国际,新浪,1997
华登国际,润迅通信,1997
华登国际,华润微电子（原华润上华）,1997
富达亚洲,亚信集团,1997
泛友创投,粤丝服装,1997
创新工业技术移转,欣邦,1997
IDG资本,适普软件,1997
IDG资本,国创科技,1997
Crosslink Technology,新涛,1997
重庆科风投,重庆英华,1998
重庆科风投,亚太水工业,1998
重庆科风投,集诚汽车,1998
中金,长天科技,1998
英特尔投资,搜狐,1998
银瑞达,长天科技,1998
新加坡政府投资,长天科技,1998
葳尔资本,国风药业（原青岛中药）,1998
上实投资,青春宝,1998
上海信投,上海市数字证书认证中心,1998
上海科技投资,万达信息,1998
软银中国,UT斯达康,1998
浦东创投,讯博软件,1998
浦东创投,彼菱软件,1998
联和投资,上海市数字证书认证中心,1998
联和投资,上海航空,1998
江苏苏高新,欧索软件,1998
江苏苏高新,艾格生物,1998
江苏高科投,欧索软件,1998
汇亚,安莉芳控股,1998
华尔投资,中视联,1998
汉鼎亚太,永和大王,1998
汉鼎亚太,美大星巴克,1998
广东科创投,天普药业,1998
晨兴创投,搜狐,1998
北京国资,首信易支付,1998
北京创投,海正化工,1998
Trans Cosmos,传述,1998
IDG资本,优联思特,1998
IDG资本,速达软件,1998
IDG资本,搜狐,1998
IDG资本,世纪互联,1998
IDG资本,科健信息,1998
IDG资本,金蝶,1998
Harrison Capital,搜狐,1998
中经合,商讯,1999
中金,鹰牌控股,1999
招商局中国基金,兴业证券,1999
长安私人资本,隆平高科,1999
云月投资,掌上灵通,1999
云月投资,英斯克,1999
盈富泰克,中星微,1999
英特尔投资,速达软件,1999
英特尔投资,搜狐,1999
英特尔投资,适普软件,1999
