C店代码,开店时间,,当月B店铺天数,当月有消保天数,当月有旺铺天数,当月有淘客天数,当月有P4P天数,当月在线商品数之和,当月有记录天数,J/K近似平均商品,当月最后一天店铺状态,主营类目ID,主营类目名称,当月最后一天在线商品数,省份ID,省份名称,城市ID,城市名称,区县ID,区县名称,行政辖区ID,行政辖区,城市等级,ipv_pv,Ln(pv),ipv_uv,Ln(uv),sales,Ln(交易额),笔数,Ln(笔数),买家数,全部网店人员,合并-主营,主营店人员,共用人员,主营店营业额,主营店人员数,店主/合伙人人数,雇佣员工人数,帮工人数,店主/合伙人_工作时间,雇佣员工工作时长,帮工工作时长,平均月工资,开店之前的工作,其他,职业状态,职业状态_其他,是否最主要收入来源,性别,婚姻状况,年龄,学历,最常所在地,户口,旺旺uid,旺旺子账号数量,当月有登陆旺旺子账号数量,卖家星级ID,卖家星级名称
c00001,40413,,0,0,30,0,0,306,30,10.2,0,11,电脑硬件/显示器/电脑周边,10,440000,广东省,441900,东莞市,441900,东莞市,100426,东莞市区,2,46,3.828641396,36,3.583518938,500,6.214608098,2,0.693147181,2,,2,,,,2,1,1,1,5,40,不定,2300,个体户,,个体户,,不是主要收入来源,男,已婚,23-25岁,高中/中专/职高,地级市/县级市市区,农业户口,284516392,\N,0,3,3星级
c00002,41447,0,0,5,0,0,0,50,9,5.555555556,0,50006843,女鞋,12,350000,福建省,350500,泉州市,350582,晋江市,101473,晋江市,5,90,4.49980967,14,2.63905733,76,4.33073334,2,0.693147181,1,,1,,,,1,1,,,17,,,,受雇于企业,,受雇于企业（包括个体户）,,不是主要收入来源,男,未婚,23-25岁,大专,省会城市市区,农业户口,1725650323,\N,0,1,1星级
c00003,41002,,0,30,30,0,30,24086,30,802.8666667,0,50008165,童装/童鞋/亲子装,797,310000,上海,310100,上海市,310115,浦东新区,101554,上海市区,1,7215,8.883917471,3513,8.164225652,17768.89,9.785204454,203,5.313205979,126,3,2,2,2,60,,3,3,,,,,,受雇于企业,,只经营网店，没有其他工作,,是主要收入来源,男,未婚,23-25岁,大专,直辖市市区,农业户口,730606997,1,0,9,4钻
c00004,41117,,0,30,30,0,0,16055,30,535.1666667,0,50004958,移动/联通/电信充值中心,29,510000,四川省,510100,成都市,510121,金堂县,100286,金堂县,6,13,2.564949357,4,1.386294361,297,5.693732139,5,1.609437912,3,,2,,,,2,2,2,,,,,,受雇于企业（包括个体户）,,受雇于企业（包括个体户）,,不是主要收入来源,男,已婚,26-30岁,高中/中专/职高,县城市区,农业户口,291187710,\N,0,2,2星级
c00005,41444,0,0,9,0,6,0,782,12,65.16666667,0,16,女装/女士精品,101,440000,广东省,440100,广州市,440111,白云区,100550,广州市区,1,487,6.188264123,169,5.129898715,527,6.267200549,13,2.564949357,13,,2,,,,2,2,,1,50,,40,,上学,,个体户,,是主要收入来源,男,未婚,23-25岁,大学本科,农村,农业户口,1732314799,\N,0,2,2星级
c00006,41443,0,0,12,0,0,0,177,13,13.61538462,0,50010404,服饰配件/皮带/帽子/围巾,29,440000,广东省,440100,广州市,440111,白云区,100550,广州市区,1,378,5.934894196,57,4.043051268,12401,9.425532394,11,2.397895273,6,,1,,,,1,1,,,14,,,,个体户,,只经营网店，没有其他工作,,是唯一收入来源,男,已婚,31-35岁,大专,省会城市市区,农业户口,1687904798,\N,0,3,3星级
c00007,41439,0,0,0,17,0,0,923,17,54.29411765,0,16,女装/女士精品,66,320000,江苏省,320500,苏州市,320502,沧浪区,101648,苏州市区,2,1927,7.563719668,624,6.436150368,1464.44,7.289228196,31,3.433987204,20,,1,,,,1,1,,,12,,,,受雇于企业（包括个体户）,,只经营网店，没有其他工作,,是主要收入来源,女,未婚,18-22岁,大学本科,地级市/县级市市区,非农业户口,383943734,\N,0,5,5星级
c00008,38523,,0,30,30,30,30,31371,30,1045.7,0,21,居家日用/婚庆/创意礼品,1022,320000,江苏省,320100,南京市,320115,江宁区,101265,南京市区,2,64919,11.08089562,29828,10.30320283,46996.43,10.75782692,6890,8.837826364,1058,,4,,,,4,2,2,,84,40,,3000,受雇于企业,,只经营网店，没有其他工作,,是主要收入来源,男,已婚,31-35岁,大学本科,省会城市市区,非农业户口,23048753,3,2,14,4皇冠
c00009,41438,0,0,16,0,0,0,1134,18,63,0,16,女装/女士精品,129,440000,广东省,440100,广州市,440106,天河区,100550,广州市区,1,66321,11.10226187,32452,10.38751735,1515.16,7.323276323,31,3.433987204,15,,1,,,,1,1,,,,,,,上学,,只经营网店，没有其他工作,,是唯一收入来源,男,未婚,18-22岁,大专,农村,农业户口,1643882523,\N,0,3,3星级
c00010,40375,,0,17,30,30,0,5964,30,198.8,0,1512,手机,185,450000,广西壮族自治区,450900,玉林市,450981,北流市,102153,北流市,5,817,6.705639095,601,6.398594935,370,5.913503006,1,0,1,,2,,,,2,1,,1,70,,56,,受雇于企业（包括个体户）,,个体户,,不是主要收入来源,男,已婚,26-30岁,大学本科,地级市/县级市市区,农业户口,10629749,1,0,6,1钻
c00011,40093,,0,30,30,0,0,13320,30,444,0,25,玩具/模型/动漫/早教/益智,444,330000,浙江省,330100,杭州市,330106,西湖区,100650,杭州市区,2,2544,7.841492924,1853,7.524561226,376.3,5.930386698,7,1.945910149,6,,3,,,,3,2,,1,10,,10,,上学,,个体户,,不是主要收入来源,男,未婚,26-30岁,硕士研究生或以上,地级市/县级市市区,非农业户口,281686335,\N,0,6,1钻
c00012,41428,0,0,22,25,17,0,1144,28,40.85714286,0,30,男装,65,450000,广西壮族自治区,450900,玉林市,450981,北流市,102153,北流市,5,727,6.588926478,132,4.882801923,1878,7.53796266,20,2.995732274,9,,1,,,,1,1,,,10,,,,个体户,,打理自己的实体店或工厂,,不是主要收入来源,男,未婚,26-30岁,高中/中专/职高,地级市/县级市市区,农业户口,1108132490,\N,0,3,3星级
c00013,40913,,0,30,30,30,30,6222,30,207.4,0,50013864,饰品/流行首饰/时尚饰品新,216,320000,江苏省,320700,连云港市,320722,东海县,101044,东海县,6,23701,10.07327252,8453,9.042276687,70412.73,11.16212935,1593,7.37337431,541,,3,,,,3,0,1,1,12,10,12,2000,上学,,只经营网店，没有其他工作,,是唯一收入来源,男,未婚,23-25岁,大专,县城市区,农业户口,190859181,1,1,10,5钻
c00014,41428,0,0,24,0,18,5,778,28,27.78571429,0,50006842,箱包皮具/热销女包/男包,42,440000,广东省,440100,广州市,440111,白云区,100550,广州市区,1,6181,8.72923535,3150,8.055157732,31523.51,10.3584889,66,4.189654742,45,2,2,2,2,5,,2,,,13,,,3000,个体户,,打理自己的实体店或工厂,,不是主要收入来源,男,未婚,23-25岁,大专,省会城市市区,农业户口,1717080033,\N,0,4,4星级
c00015,41427,0,0,24,29,5,9,172,29,5.931034483,0,50006842,箱包皮具/热销女包/男包,10,320000,江苏省,320800,淮安市,320804,淮阴区,100783,淮安市区,3,1957,7.579167967,1049,6.955592608,3400.14,8.131571886,75,4.317488114,23,,4,,,,4,1,2,2,8,8,8,1000,全职主妇,,只经营网店，没有其他工作,,是主要收入来源,女,已婚,23-25岁,大专,地级市/县级市市区,农业户口,801964947,\N,0,5,5星级
c00016,40126,,0,30,24,30,0,5408,30,180.2666667,0,26,汽车/用品/配件/改装,182,330000,浙江省,330100,杭州市,330105,拱墅区,100650,杭州市区,2,1779,7.483806688,994,6.901737207,11477.5,9.348143876,47,3.850147602,36,,2,,,,2,1,2,5,12,10,5,1800,受雇于企业（包括个体户）,,只经营网店，没有其他工作,,是唯一收入来源,女,已婚,31-35岁,大专,省会城市市区,农业户口,326522595,\N,0,8,3钻
c00017,41426,0,0,11,0,0,0,126,30,4.2,0,50006843,女鞋,14,350000,福建省,350200,厦门市,350211,集美区,101518,厦门市区,2,2843,7.952615112,1107,7.009408933,555,6.318968114,5,1.609437912,5,,2,,,,2,1,,,12,,,,上学,,只经营网店，没有其他工作,,是主要收入来源,女,未婚,23-25岁,大学本科,县城市区,农业户口,1702200843,\N,0,4,4星级
c00018,41425,0,0,25,30,14,0,431,30,14.36666667,0,30,男装,26,330000,浙江省,330400,嘉兴市,330483,桐乡市,100870,桐乡市,5,1637,7.400620577,475,6.163314804,2122.6,7.660397031,22,3.091042453,16,1,1,1,1,100,,2,,,15,,,,受雇于企业,,受雇于企业（包括个体户）,,不是主要收入来源,男,未婚,18-22岁,高中/中专/职高,地级市/县级市市区,农业户口,614656588,\N,0,3,3星级
c00019,41258,,0,30,30,30,30,1893,30,63.1,0,25,玩具/模型/动漫/早教/益智,62,330000,浙江省,330700,金华市,330782,义乌市,100899,义乌市,5,3772,8.235360644,1859,7.527793988,5554.68,8.622396095,340,5.828945618,87,,3,,,,3,1,2,3,20,12,5,2600,无事可做（休息、待业）,,只经营网店，没有其他工作,,是主要收入来源,男,已婚,23-25岁,初中或以下,县城市区,农业户口,1106029800,1,0,7,2钻
c00020,41282,,0,30,30,0,0,9684,30,322.8,0,50007216,鲜花速递/花卉仿真/绿植园艺,332,120000,天津,120100,天津市,120114,武清区,101718,天津市区,2,8144,9.005036739,2588,7.858640656,10991.16,9.304846592,565,6.336825731,150,,3,,,,3,2,,1,60,,12,,受雇于企业,,只经营网店，没有其他工作,,是主要收入来源,男,已婚,31-35岁,大专,直辖市市区,非农业户口,1114639621,2,1,9,4钻
c00021,40749,,0,30,30,0,0,775,30,25.83333333,0,50004958,移动/联通/电信充值中心,0,370000,山东省,370200,青岛市,370282,即墨市,101432,即墨市,5,37,3.610917913,18,2.890371758,1871.4,7.534442093,30,3.401197382,22,2,2,2,1,80,,2,,1,3,,1,,上学,,受雇于企业（包括个体户）,,不是主要收入来源,女,未婚,23-25岁,大学本科,地级市/县级市市区,农业户口,381854203,2,0,6,1钻
c00022,41423,0,0,30,0,24,0,344,30,11.46666667,0,50006843,女鞋,24,440000,广东省,441300,惠州市,441323,惠东县,100815,惠东县,6,3830,8.250620082,2748,7.918628653,21504,9.975994243,278,5.627621114,273,,2,,,,2,2,,1,12,,12,,受雇于企业（包括个体户）,,只经营网店，没有其他工作,,是唯一收入来源,男,未婚,23-25岁,大专,县城市区,非农业户口,1711032497,\N,0,7,2钻
c00023,41422,0,0,20,30,5,0,796,30,26.53333333,0,16,女装/女士精品,47,110000,北京,110100,北京市,110105,朝阳区,100180,北京市区,1,4352,8.378390789,1531,7.333676396,931.63,6.83693574,41,3.713572067,16,,1,,,,1,1,,,15,,,,受雇于企业,,只经营网店，没有其他工作,,不是主要收入来源,女,已婚,26-30岁,大学本科,直辖市市区,农业户口,294930483,\N,0,4,4星级
c00024,41165,,0,0,30,0,0,2087,30,69.56666667,0,26,汽车/用品/配件/改装,80,440000,广东省,440100,广州市,440104,越秀区,100550,广州市区,1,269,5.59471138,95,4.553876892,1437.4,7.270591205,9,2.197224577,5,,3,,,,3,1,1,1,50,50,14,2000,个体户,,打理自己的实体店或工厂,,不是主要收入来源,男,已婚,41-50岁,大学本科,省会城市市区,非农业户口,1041012299,3,2,2,2星级
c00025,41421,0,0,30,0,27,0,435,30,14.5,0,50006843,女鞋,15,350000,福建省,350300,莆田市,350304,荔城区,101354,莆田市区,3,152,5.023880521,69,4.234106505,550,6.309918278,15,2.708050201,5,1,1,1,1,100,,1,0,0,13,0,0,0,上学,,只经营网店，没有其他工作,,是主要收入来源,男,未婚,18-22岁,高中/中专/职高,地级市/县级市市区,农业户口,1604527545,\N,0,2,2星级
c00026,41421,0,0,30,30,23,0,689,30,22.96666667,0,1625,女士内衣/男士内衣/家居服,26,440000,广东省,440100,广州市,440111,白云区,100550,广州市区,1,301,5.707110265,91,4.510859507,240.46,5.482553756,39,3.663561646,6,,2,,,,2,2,,2,50,,,,无事可做（休息、待业）,,只经营网店，没有其他工作,,是唯一收入来源,女,未婚,18-22岁,大专,省会城市市区,非农业户口,1112769557,\N,0,3,3星级
c00027,41420,0,0,30,0,9,18,920,30,30.66666667,0,16,女装/女士精品,45,330000,浙江省,330100,杭州市,330104,江干区,100650,杭州市区,2,9231,9.130322664,6449,8.771680359,24445.99,10.10422147,212,5.356586275,133,,3,,,,3,2,1,1,100,56,25,3500,受雇于企业,,只经营网店，没有其他工作,,是唯一收入来源,男,未婚,26-30岁,高中/中专/职高,省会城市市区,农业户口,1706327191,1,1,6,1钻
c00028,41420,0,0,30,4,0,0,2294,30,76.46666667,0,50006843,女鞋,105,350000,福建省,350300,莆田市,350305,秀屿区,101354,莆田市区,3,1127,7.027314514,327,5.789960171,1214.32,7.101939528,7,1.945910149,7,,0,,,100,,1,,,10,,,,受雇于企业（包括个体户）,,务农,,是唯一收入来源,男,已婚,36-40岁,高中/中专/职高,农村,农业户口,1709281950,\N,0,1,1星级
c00029,41420,0,0,5,30,0,0,2801,30,93.36666667,0,16,女装/女士精品,129,320000,江苏省,320900,盐城市,320922,滨海县,102052,滨海县,6,194,5.267858159,40,3.688879454,124.36,4.823180585,5,1.609437912,4,,1,,,,1,1,,,60,,,,全职主妇,,只经营网店，没有其他工作,,不是主要收入来源,女,已婚,26-30岁,高中/中专/职高,农村,农业户口,482895389,\N,0,3,3星级
c00030,41419,0,0,0,0,0,0,486,30,16.2,0,16,女装/女士精品,0,520000,贵州省,520200,六盘水市,520203,六枝特区,101148,六盘水市区,5,18,2.890371758,8,2.079441542,88,4.477336814,1,0,1,2,1,1,2,80,,2,1,,50,8,,,在淘宝（天猫）其他网店工作,,打理自己的实体店或工厂,,是主要收入来源,男,未婚,23-25岁,高中/中专/职高,农村,非农业户口,1703376485,\N,0,0,信用得分<=3
c00031,41419,0,0,0,30,0,0,3370,30,112.3333333,0,16,女装/女士精品,126,330000,浙江省,330100,杭州市,330108,滨江区,100650,杭州市区,2,59,4.077537444,13,2.564949357,315,5.752572639,2,0.693147181,2,,1,,,,1,1,,,2,,,,受雇于企业（包括个体户）,,受雇于企业（包括个体户）,,不是主要收入来源,女,未婚,23-25岁,高中/中专/职高,省会城市市区,非农业户口,390857574,\N,0,0,信用得分<=3
c00032,40673,,0,30,30,0,0,16529,30,550.9666667,0,50008165,童装/童鞋/亲子装,551,320000,江苏省,320200,无锡市,320211,滨湖区,101826,无锡市区,2,13,2.564949357,12,2.48490665,40,3.688879454,2,0.693147181,1,,2,,,,2,1,,1,48,,5,,在政府部门或事业单位工作,,受雇于企业（包括个体户）,,不是主要收入来源,女,已婚,31-35岁,大学本科,地级市/县级市市区,非农业户口,283646361,2,0,1,1星级
c00033,39600,,0,30,30,0,0,6039,30,201.3,0,50013864,饰品/流行首饰/时尚饰品新,222,320000,江苏省,320700,连云港市,320722,东海县,101044,东海县,6,1697,7.436617265,691,6.538139824,3918.12,8.273367226,34,3.526360525,19,2,2,2,1,60,,1,1,,,,,,个体户,,只经营网店，没有其他工作,,是主要收入来源,女,已婚,26-30岁,初中或以下,直辖市市区,农业户口,102916515,2,2,6,1钻
c00034,39400,,0,30,30,0,0,60,30,2,0,50008907,手机号码/套餐/增值业务,2,310000,上海,310100,上海市,310115,浦东新区,101554,上海市区,1,8,2.079441542,2,0.693147181,59.02,4.07787637,2,0.693147181,1,1,2,1,1,100,1,1,,3,5,,,,上学,,受雇于企业（包括个体户）,,不是主要收入来源,女,未婚,23-25岁,大专,直辖市市区,农业户口,75420142,\N,0,5,5星级
c00035,40515,,0,30,30,0,0,634,30,21.13333333,0,50008163,床上用品/布艺软饰,18,330000,浙江省,330400,嘉兴市,330483,桐乡市,100870,桐乡市,5,18,2.890371758,12,2.48490665,3100,8.03915739,3,1.098612289,2,,2,,,,2,1,1,2,12,9,3,4000,企业主（自有注册公司）,,打理自己的实体店或工厂,,不是主要收入来源,男,已婚,41-50岁,大学本科,地级市/县级市市区,非农业户口,53824383,\N,0,3,3星级
c00036,41419,0,0,0,22,1,0,335,30,11.16666667,0,16,女装/女士精品,16,440000,广东省,440100,广州市,440111,白云区,100550,广州市区,1,159,5.068904202,43,3.761200116,267,5.587248658,6,1.791759469,4,,2,,,,2,2,,,3,,,,受雇于企业,,受雇于企业（包括个体户）,,不是主要收入来源,男,已婚,26-30岁,大学本科,地级市/县级市市区,农业户口,66469692,\N,0,1,1星级
c00037,41419,0,0,0,30,0,0,2670,30,89,0,16,女装/女士精品,82,330000,浙江省,330100,杭州市,330108,滨江区,100650,杭州市区,2,2479,7.815610532,911,6.814542897,13524.02,9.512222643,174,5.159055299,60,,1,,,,1,1,,,,,,,个体户,,只经营网店，没有其他工作,,不是主要收入来源,女,已婚,41-50岁,高中/中专/职高,直辖市市区,非农业户口,175819893,\N,0,5,5星级
c00038,39048,,0,30,30,0,0,728,30,24.26666667,0,50026800,保健品/膳食营养补充剂,24,440000,广东省,440100,广州市,440105,海珠区,100550,广州市区,1,7101,8.867990898,2885,7.967280179,75996.99,11.23844901,328,5.793013608,211,,2,,,,2,1,1,,26,48,,2200,受雇于企业（包括个体户）,,打理自己的实体店或工厂,,不是主要收入来源,男,已婚,26-30岁,大学本科,县城市区,农业户口,73,2,0,9,4钻
c00039,40638,,0,30,30,30,30,3011,30,100.3666667,0,50014811,网店/网络服务/软件,105,320000,江苏省,320700,连云港市,320705,新浦区,101048,连云港市区,4,1993,7.59739632,962,6.869014451,21800.71,9.989697817,92,4.521788577,66,6,2,2,4,80,,2,4,,108,,,3000,受雇于企业（包括个体户）,,受雇于企业（包括个体户）,,是主要收入来源,男,已婚,26-30岁,初中或以下,地级市/县级市市区,农业户口,683208118,1,0,6,1钻
c00040,41418,0,0,30,30,0,0,6715,30,223.8333333,0,50006842,箱包皮具/热销女包/男包,285,440000,广东省,440100,广州市,440111,白云区,100550,广州市区,1,2961,7.993282328,1695,7.43543802,13407.01,9.503532983,140,4.941642423,71,,2,,,,2,2,,1,14,,3,500,无事可做（休息、待业）,,只经营网店，没有其他工作,,是唯一收入来源,女,未婚,23-25岁,大专,县城市区,非农业户口,372912038,\N,0,6,1钻
c00041,40546,,0,30,30,30,0,24876,30,829.2,0,50004958,移动/联通/电信充值中心,879,440000,广东省,440300,深圳市,440307,龙岗区,101591,深圳市区,1,45,3.80666249,30,3.401197382,1934.29,7.567495613,32,3.465735903,27,,2,,,,2,2,,,10,,,,受雇于企业,,受雇于企业（包括个体户）,,不是主要收入来源,男,未婚,31-35岁,大专,地级市/县级市市区,农转非户口,388569843,\N,0,4,4星级
c00042,41418,0,0,30,30,0,0,16204,30,540.1333333,0,16,女装/女士精品,60,130000,河北省,130200,唐山市,130283,迁安市,101708,迁安市,5,343,5.837730447,112,4.718498871,1873.5,7.535563618,53,3.970291914,36,1,1,1,1,15,,1,,1,120,,60,50,受雇于企业,,受雇于企业（包括个体户）,,不是主要收入来源,男,已婚,26-30岁,高中/中专/职高,农村,农业户口,280184169,1,1,3,3星级
